,sentence_id,topic,label,age,education,ethnicity,pol_alignment,english_proficiency,second_lang,guideline,binary_label,pol,group,gender,orig_labels,orig_labels_binary,Input.ID_in_set,Input.set,Input.ID
2861,462,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,832,train,461
2862,463,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1271,train,462
2863,464,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,4.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1534,train,463
2864,465,minimum wage,NO CLAIM,20 or below,Some college but no degree,Asian,2.0,Very well,Yes,1,0,liberal,ML,male,Argument_for,1,316,train,464
2865,466,minimum wage,NO CLAIM,21-30,12th grade NO DIPLOMA,White,0.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,484,train,465
2866,467,minimum wage,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,1770,train,466
2867,468,minimum wage,NO CLAIM,20 or below,Some college but no degree,Asian,1.0,Very well,Yes,1,0,liberal,ML,male,Argument_for,1,332,train,467
2868,469,minimum wage,CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,1638,train,468
2869,470,minimum wage,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1660,train,469
2870,471,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,362,train,470
2871,472,minimum wage,NO CLAIM,21-30,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",White,3.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,844,train,471
2872,473,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,4.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,50,train,472
2873,474,minimum wage,NO CLAIM,41-50,"Doctorate degree (For example: PhD, EdD)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,367,train,473
2874,475,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1508,train,474
2875,476,minimum wage,NO CLAIM,20 or below,Some college but no degree,Asian,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,680,train,475
2876,477,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1602,train,476
2877,478,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,843,train,477
2878,479,minimum wage,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1642,train,478
2879,480,minimum wage,NO CLAIM,20 or below,12th grade NO DIPLOMA,White,2.0,Very well,Yes,1,0,liberal,ML,male,NoArgument,0,1371,train,479
2880,481,minimum wage,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1769,train,480
2881,482,minimum wage,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,3.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,1505,train,481
2882,483,minimum wage,CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,0.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,508,train,482
2883,484,minimum wage,NO CLAIM,31-40,Some college but no degree,White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,546,train,483
2884,485,minimum wage,CLAIM,20 or below,Some college but no degree,Black or African American,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,326,train,484
2885,486,minimum wage,CLAIM,31-40,12th grade NO DIPLOMA,White,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1612,train,485
2886,487,minimum wage,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,1436,train,486
2887,488,minimum wage,CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,221,train,487
2888,489,minimum wage,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,0.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,783,train,488
2889,490,minimum wage,NO CLAIM,31-40,12th grade NO DIPLOMA,White,2.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,79,train,489
2890,491,minimum wage,CLAIM,31-40,12th grade NO DIPLOMA,White,2.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,1758,train,490
2891,492,minimum wage,CLAIM,21-30,Some college but no degree,Asian,0.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,963,train,491
2892,493,minimum wage,NO CLAIM,20 or below,Some college but no degree,Asian,2.0,Very well,Yes,1,0,liberal,ML,male,Argument_for,1,455,train,492
2893,494,minimum wage,NO CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,408,train,493
2894,495,minimum wage,NO CLAIM,21-30,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",White,3.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1672,train,494
2895,496,minimum wage,CLAIM,31-40,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",Asian,0.0,Very well,Yes,1,1,liberal,ML,male,NoArgument,0,942,train,495
2896,497,minimum wage,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,716,train,496
2897,498,minimum wage,CLAIM,31-40,Some college but no degree,White,3.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,625,train,497
2898,499,minimum wage,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,1680,train,498
2899,500,minimum wage,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,1628,train,499
2900,501,minimum wage,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,0.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,466,train,500
2901,502,minimum wage,CLAIM,31-40,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",Asian,0.0,Very well,Yes,1,1,liberal,ML,male,NoArgument,0,456,train,501
2902,503,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,4.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,48,train,502
2903,504,minimum wage,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1351,train,503
2904,505,minimum wage,CLAIM,20 or below,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),Asian,2.0,Very well,Yes,1,1,liberal,ML,male,NoArgument,0,395,train,504
2905,506,minimum wage,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,816,train,505
2906,507,minimum wage,CLAIM,31-40,Some college but no degree,White,3.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,672,train,506
2907,508,minimum wage,NO CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,570,train,507
2908,509,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,1.0,Very well,Yes,1,1,liberal,ML,male,Argument_for,1,142,train,508
2909,510,minimum wage,CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,3.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1583,train,509
2910,511,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,571,train,510
2911,512,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,719,train,511
2912,513,minimum wage,NO CLAIM,31-40,12th grade NO DIPLOMA,White,2.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,1313,train,512
2913,514,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1043,train,513
2914,515,minimum wage,CLAIM,20 or below,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),Asian,2.0,Very well,Yes,1,1,liberal,ML,male,NoArgument,0,818,train,514
2915,516,minimum wage,CLAIM,31-40,Some college but no degree,White,1.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1391,train,515
2916,517,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,4.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,1727,train,516
2917,518,minimum wage,NO CLAIM,31-40,12th grade NO DIPLOMA,White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1098,train,517
2918,519,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,678,train,518
2919,520,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,56,train,519
2920,521,minimum wage,CLAIM,31-40,Associate degree in college - Occupational/vocational program,"White,Other race, ethnicity or origin",2.0,Very well,Yes,1,1,liberal,ML,male,NoArgument,0,534,train,520
2921,522,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,1.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,365,train,521
2922,523,minimum wage,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1189,train,522
2923,524,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,0.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,78,train,523
2924,525,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,1.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,222,train,524
2925,526,minimum wage,NO CLAIM,20 or below,Some college but no degree,Asian,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1221,train,525
2926,527,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,889,train,526
2927,528,minimum wage,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,707,train,527
2928,529,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1492,train,528
2929,530,minimum wage,NO CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1610,train,529
2930,531,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,642,train,530
2931,532,minimum wage,CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,3.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,893,train,531
2932,533,minimum wage,NO CLAIM,20 or below,Some college but no degree,Black or African American,0.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1241,train,532
2933,534,minimum wage,CLAIM,31-40,"Doctorate degree (For example: PhD, EdD)",White,7.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1047,train,533
2934,535,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,788,train,534
2935,536,minimum wage,CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,3.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1180,train,535
2936,537,minimum wage,CLAIM,21-30,Some college but no degree,White,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,389,train,536
2937,538,minimum wage,NO CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,0.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,521,train,537
2938,539,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1451,train,538
2939,540,minimum wage,NO CLAIM,21-30,Some college but no degree,White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,3,train,539
2940,541,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,4.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1064,train,540
2941,542,minimum wage,NO CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,1651,train,541
2942,543,minimum wage,CLAIM,31-40,Some college but no degree,White,2.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1102,train,542
2943,544,minimum wage,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1406,train,543
2944,545,minimum wage,CLAIM,20 or below,Some college but no degree,White,0.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,1473,train,544
2945,546,minimum wage,CLAIM,20 or below,Some college but no degree,Asian,1.0,Very well,Yes,1,1,liberal,ML,male,NoArgument,0,1519,train,545
2946,547,minimum wage,NO CLAIM,20 or below,Some college but no degree,Asian,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1509,train,546
2947,548,minimum wage,NO CLAIM,51 or above,"Bachelor's degree (For example: BA, AB, BS)",White,3.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,1373,train,547
2948,549,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,403,train,548
2949,550,minimum wage,NO CLAIM,21-30,Some college but no degree,White,0.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,745,train,549
2950,551,minimum wage,CLAIM,41-50,Some college but no degree,White,3.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,883,train,550
2951,552,minimum wage,NO CLAIM,31-40,12th grade NO DIPLOMA,White,2.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,143,train,551
2952,553,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,6.0,Well,No,1,0,liberal,ML,male,Argument_for,1,1360,train,552
2953,554,minimum wage,NO CLAIM,41-50,"Doctorate degree (For example: PhD, EdD)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,676,train,553
2954,555,minimum wage,CLAIM,31-40,"Doctorate degree (For example: PhD, EdD)",White,5.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1276,train,554
2955,556,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,7.0,Very well,Yes,1,1,liberal,ML,male,Argument_for,1,1736,train,555
2956,557,minimum wage,NO CLAIM,21-30,Some college but no degree,White,3.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,255,train,556
2957,558,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,4.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,1474,train,557
2958,559,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,1.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,615,train,558
2959,560,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,7.0,Very well,Yes,1,0,liberal,ML,male,NoArgument,0,1038,train,559
2960,561,minimum wage,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,633,train,560
2961,562,minimum wage,CLAIM,21-30,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",White,3.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,836,train,561
2962,563,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,668,train,562
2963,564,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,824,train,563
2964,565,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1427,train,564
2965,566,minimum wage,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,605,train,565
2966,567,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,6.0,Well,No,1,1,liberal,ML,male,Argument_against,1,260,train,566
2967,568,minimum wage,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,392,train,567
2968,569,minimum wage,NO CLAIM,21-30,"Professional School Degree (For example: MD,DDS,DVM,LLB,JD)",White,3.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,861,train,568
2969,570,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,4.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,1361,train,569
2970,571,minimum wage,CLAIM,51 or above,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,1.0,Very well,Yes,1,1,liberal,ML,male,Argument_for,1,776,train,570
2971,572,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,7.0,Very well,Yes,1,1,liberal,ML,male,Argument_against,1,1387,train,571
2972,573,minimum wage,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1532,train,572
2973,574,minimum wage,NO CLAIM,31-40,Some college but no degree,White,3.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,356,train,573
2974,575,minimum wage,CLAIM,21-30,Some college but no degree,Asian,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1260,train,574
2975,576,minimum wage,CLAIM,31-40,12th grade NO DIPLOMA,White,2.0,Very well,No,1,1,liberal,ML,male,Argument_for,1,1165,train,575
2976,577,minimum wage,CLAIM,21-30,Some college but no degree,White,3.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,616,train,576
2977,578,minimum wage,NO CLAIM,31-40,12th grade NO DIPLOMA,White,0.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,831,train,577
2978,579,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,0,liberal,ML,male,Argument_for,1,1122,train,578
2979,580,minimum wage,CLAIM,21-30,Some college but no degree,Asian,0.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,0,train,579
2980,581,minimum wage,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,1.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,622,train,580
2981,582,minimum wage,NO CLAIM,21-30,Some college but no degree,Asian,0.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,587,train,581
2982,583,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,1.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1609,train,582
2983,584,minimum wage,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1187,train,583
2984,585,minimum wage,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,5.0,Very well,No,1,1,liberal,ML,male,Argument_against,1,1242,train,584
2985,586,minimum wage,NO CLAIM,31-40,Some college but no degree,White,2.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1340,train,585
2986,587,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,659,train,586
2987,588,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,952,train,587
2988,589,minimum wage,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,905,train,588
2989,590,minimum wage,NO CLAIM,41-50,"Bachelor's degree (For example: BA, AB, BS)",White,1.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1383,train,589
2990,591,minimum wage,CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,437,train,590
2991,592,minimum wage,NO CLAIM,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,1046,train,591
2992,593,minimum wage,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,0.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,969,train,592
2993,594,minimum wage,CLAIM,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,1625,train,593
2994,595,minimum wage,NO CLAIM,20 or below,Some college but no degree,White,0.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,1507,train,594
2995,596,minimum wage,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,0.0,Very well,No,1,0,liberal,ML,male,Argument_against,1,347,train,595
2996,597,minimum wage,NO CLAIM,20 or below,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),Asian,2.0,Very well,Yes,1,0,liberal,ML,male,NoArgument,0,1349,train,596
2997,598,minimum wage,NO CLAIM,41-50,"Doctorate degree (For example: PhD, EdD)",White,0.0,Very well,No,1,0,liberal,ML,male,NoArgument,0,173,train,597
2998,599,minimum wage,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,1,1,liberal,ML,male,NoArgument,0,581,train,598
2999,600,minimum wage,CLAIM,20 or below,Some college but no degree,Asian,2.0,Very well,Yes,1,1,liberal,ML,male,Argument_for,1,1055,train,599
3000,601,cloning,Accept / Pro,31-40,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,1.0,Very well,No,2,1,liberal,ML,male,NoArgument,0,0,val,0
3001,602,cloning,Reject,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,2,0,liberal,ML,male,NoArgument,0,1,val,1
3002,603,cloning,Reject,21-30,"Bachelor's degree (For example: BA, AB, BS)",Asian,4.0,Very well,Yes,2,0,liberal,ML,male,NoArgument,0,2,val,2
3003,604,cloning,Reject,21-30,"Bachelor's degree (For example: BA, AB, BS)",Asian,4.0,Very well,Yes,2,0,liberal,ML,male,NoArgument,0,3,val,3
3004,605,cloning,Accept / Con,21-30,"Bachelor's degree (For example: BA, AB, BS)",Asian,2.0,Very well,No,2,1,liberal,ML,male,Argument_against,1,4,val,4
3005,606,cloning,Accept / Pro,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,0.0,Very well,No,2,1,liberal,ML,male,NoArgument,0,5,val,5
3006,607,cloning,Reject,51 or above,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,3.0,Very well,Yes,2,0,liberal,ML,male,NoArgument,0,6,val,6
3007,608,cloning,Accept / Con,51 or above,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,3.0,Very well,Yes,2,1,liberal,ML,male,Argument_for,1,7,val,7
3008,609,cloning,Reject,21-30,Some college but no degree,White,3.0,Very well,No,2,0,liberal,ML,male,NoArgument,0,8,val,8
3009,610,cloning,Reject,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,4.0,Very well,No,2,0,liberal,ML,male,NoArgument,0,9,val,9
3010,611,cloning,Reject,21-30,Some college but no degree,White,1.0,Very well,No,2,0,liberal,ML,male,NoArgument,0,10,val,10
3011,612,cloning,Accept / Con,51 or above,Some college but no degree,Black or African American,4.0,Very well,No,2,1,liberal,ML,male,NoArgument,0,11,val,11
3012,613,cloning,Accept / Pro,21-30,"Bachelor's degree (For example: BA, AB, BS)","White,Asian",3.0,Very well,No,2,1,liberal,ML,male,Argument_for,1,12,val,12
3013,614,cloning,Accept / Con,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,3.0,Very well,No,2,1,liberal,ML,male,NoArgument,0,13,val,13
3014,615,cloning,Accept / Con,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,2,1,liberal,ML,male,Argument_for,1,14,val,14
3015,616,cloning,Accept / Con,31-40,Some college but no degree,White,0.0,Very well,No,2,1,liberal,ML,male,Argument_against,1,15,val,15
3016,617,cloning,Accept / Pro,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,1.0,Very well,No,2,1,liberal,ML,male,NoArgument,0,16,val,16
3017,618,cloning,Reject,21-30,"Bachelor's degree (For example: BA, AB, BS)","White,Asian",3.0,Very well,No,2,0,liberal,ML,male,NoArgument,0,17,val,17
3018,619,cloning,Reject,20 or below,Some college but no degree,White,3.0,Very well,No,2,0,liberal,ML,male,Argument_for,1,18,val,18
3019,620,cloning,Reject,31-40,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,2,0,liberal,ML,male,Argument_against,1,19,val,19
3020,621,cloning,Accept / Con,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,9.0,Very well,No,2,1,liberal,ML,male,Argument_against,1,20,val,20
3021,622,cloning,Accept / Con,31-40,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,0.0,Very well,No,2,1,liberal,ML,male,Argument_for,1,21,val,21
3022,623,cloning,Accept / Con,41-50,"Bachelor's degree (For example: BA, AB, BS)",White,2.0,Very well,No,2,1,liberal,ML,male,Argument_against,1,22,val,22
3023,624,cloning,Reject,21-30,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,7.0,Very well,Yes,2,0,liberal,ML,male,Argument_against,1,23,val,23
